Judul,SKU,Kategori,Standar,Meta_Title,Meta_Description,Custom_H1,Breadcrumb,Canonical,NoIndex,Gambar,Brosur,Spesifikasi,Ringkasan,Konten_Lengkap
Moisture Content Test Set,,Tanah,,Jual Moisture Content Test Set Harga Terbaik,,,,,,,,"Cent O-Gram Balance: 311 gr cap., 0.01 gr sens | Drying Oven: 53 ltr. capacity, internal dimension (l x w x h) 400 x 400 x 330 mm, 220 V, 1400 W | Thin Box: Alumunium, 60 gr capacity | Dessicator: Transparent glass, 24 cm dia, approx",,
CBR Lapangan,,Tanah,,Jual CBR Lapangan Harga Terbaik,Jual CBR Lapangan. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-4429 | Mechanical Jack: 5 tons capacity, Cast alumunium housing, hand operated, 2 speeds | Swivel head: Cast alumunium | Penetration Piston: Machine steel, plated, 3 sq.in.cross section area, adjustable height | Extention set: Machined steel, plated, 5 cm, 10 cm, 20 cm, 30 cm, and 60 cm, provided with connecting adaptor | Reference Beam: Steel pipe, 150 cm span | Circular Surcharge Weight: Machine steel, plated, 10"" dia, 10 lbs weight | Slotted Surcharge Weight 1: Machine steel, plated, 8"" dia, 10 lbs weight | Slotted Surcharge Weight 2: Machine steel, plated, 8.5"" dia, 20 lbs weight | Proving Ring 1: 2.000 lbs capacity | Proving Ring 2: 10.000 lbs capacity | Dial Indicator: Range 30 x 0.01 mm | Dial holder: Magnetic",,
Combination Permeameter,,Tanah,,Jual Combination Permeameter Harga Terbaik,Cari Combination Permeameter? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-2434 / AASHTO T-215 | Sample Chamber: Transparent fibre glass, 2 1/2"" i.d, 8"" height, compessive spring, cast alumunium body | Funnel: Plastic, wide mouth, with over flow | Frame: Alumunium | Porous Stone: 2 1/2"" diameter | Burette: 50 ml capacity | Graduated Cylinder: 100 ml capacity | Stop Watch: 60 sec sweep",,
Compact Permeameter Test Set 1/30,,Tanah,,Jual Compact Permeameter Test Set 1/30 Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Compact Permeameter Test Set asli.,,,,,,,"Compaction Permeameter: 1/30 cu. ft. mold, 4"" i.d, inlet-outlet connector, overflow valve, porous stone | Frame: Cast alumunium base, alumunium column, 3 burette (5, 10, 15 mm diameter) | Graduated Cylinder: 100 ml capacity | Stop Watch: 60 sec. sweep",,
Compact Permeameter Test Set 1/13.33,,Tanah,,Jual Compact Permeameter Test Set 1/13.33 Harga Terbaik,,,,,,,,"Compaction Permeameter: 1/13.33 cu. ft. mold , 6"" i.d, inlet-outlet connector, overflow valve, porous stone | Frame: Cast alumunium base, alumunium column, 3 burette (5, 10, 15 mm diameter) | Graduated Cylinder: 100 ml capacity | Stop Watch: 60 sec. sweep",,
Compaction Test Set,,Tanah,,Jual Compaction Test Set Harga Terbaik,Sawarga Teknik jual Compaction Test Set. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-698/D-1557; T-99/ T-280 | Standard Proctor Mold: Machine steel, plated, 4"" i.d., 4.584"" height, 2"" height of collar | Modified Proctor Mold: Machine steel, plated, 6"" i.d., 4.584"" height, 2"" height of collar | Standard Proctor Hammer: Machine steel, plated, 12"" drop height, 5,5 lbs weight | Modified Proctor Hammer: Machine steel, plated, 18"" drop height, 10 lbs weight | Extruder: Steel frame, hydraulic jack | Square Pan: Galvanized steel 65 x 65 x 7.5 cm | Thin Box: Alumunium, 60 gr capacity | Graduated Cylinder: Plastic, 1.000 ml capacity | Scoop: Cast Alumunium | Trowel: Pointed type | Straight Edge: 30 cm length | Rubber Mallet: Wooden handle | Steel Wire Brush: Wooden handle",,
Consolidation Test Set,,Tanah,,Jual Consolidation Test Set Harga Terbaik,Jual Consolidation Test Set. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-2435 / AASHTO T-216 | Frame: Cast alumunium, two test unit | Loading set: Three alternative lever arm 1:9, 1:10, 1:11 | Consolidometer: Brass, 50.5 mm sample dia., porous stone loading capacity | Loads: 500 gr, 1000 gr, 2000 gr, 4000 gr, 8000 gr | Sample Tube: Machine steel, 50.5 mm dia. galvanized, with extruder | Dial Indicator: Range 10 mm x 0.01 mm | Wire Saw: 10 cm length approx",,
Corps Of Engineer Soil Surface,,Tanah,,Jual Corps Of Engineer Soil Surface Harga Terbaik,Cari Corps Of Engineer Soil Surface? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-2937 | Hammer: Machine steel, plated, 10 lbs sliding weight, 20"" falling height | Sampling Tube: Machine steel, plated, 3"" i.d., 2-7/8"" i.d., 2-13/16"" length",,
Direct Shear Electric,,Tanah,,Jual Direct Shear Electric Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Direct Shear Electric asli.,,,,,,,"Standar: ASTM D-3080 / AASHTO T-236 | Frame: Welded steel frame electric | Loading Hanger: Machine steel, galvanized, supplied without load | Shear Box: Cast alumunium box, 63.5 mm sample dia porous stone, loading capacity | Loads: Slotted, machine steel, galvanized, 3167 gr weight, 6334 gr weight | Sample Tube: Machine steel, 63.5 mm dia., galvanized, with extruder | Proving Ring: 100 kg capacity | Dial Indicator 1: Range 10mm x 0.01mm | Dial Indicator 2: Range 20mm x 0.01mm | Wire Saw: 10 cm length approx",,
Direct Shear Test Set,,Tanah,,Jual Direct Shear Test Set Harga Terbaik,Sawarga Teknik jual Direct Shear Test Set. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-3080 / AASHTO T-236 | Frame: Welded steel frame hand operated | Loading Hanger: Machine steel, galvanized, supplied without load | Shear Box: Cast alumunium box, 63.5 mm sample dia porous stone, loading capacity | Loads: Slotted, machine steel, galvanized, 3167 gr weight, 6334 gr weight | Sample Tube: Machine steel, 63.5 mm dia., galvanized, with extruder | Proving Ring: 100 kg capacity | Dial Indicator 1: Range 10mm x 0.01mm | Dial Indicator 2: Range 20mm x 0.01mm | Wire Saw: 10 cm length approx",,
Dynamic Cone Penetrometer,,Tanah,,Jual Dynamic Cone Penetrometer Harga Terbaik,Jual Dynamic Cone Penetrometer. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Handle: Stainless steel | Hammer: Machined steel, Painted, 8 kg weight | Guide Rod: Stainless steel, 16 mm dia drop height 575 mm | Anvil: Machined steel, welded painted | Penetration Rod: Stainless steel, 16 mm dia, 107 length | Cone: Hardened tool steel cone tip, 60 deg. angle, 20 mm dia., stainless steel adaptor | Penetration Scale: Stainless steel, 16 mm dia, 100 cm scale | Carrying Bag: Water proof cloth | Open End Wrench: Vanadium steel 12/13, 14/15",,
Field Vane Shear Test Set,,Tanah,,Jual Field Vane Shear Test Set Harga Terbaik,Cari Field Vane Shear Test Set? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Fungsi: Mechanical Vane Shear using for field investigation of un-drained shear strength and sensitivity of the soft and medium stiff clay | Measurements: 0 to 60 kPa and 0 to 100kPa | Reading by: 2"" dia Gauge. 10 x 0.01 | Vane Shear Sizes: 38 x 76 mm, 55 x110 mm, 75 x 150 mm | Rod: Mahined steel, 1 m length, 1 pc",,
Hydrometer Analysis Test Set,,Tanah,,Jual Hydrometer Analysis Test Set Harga Terbaik,Sawarga Teknik jual Hydrometer Analysis Test Set. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-422 / AASHTO T-88 | Hydrometer A (152 H): Glass, stream line, range 0 - 60 gr soil/ltr | Hydrometer B (151 H): Glass, stream line, range 0.995-1.038 | Mechanical Stirer: Electric, 220 volt, cast alumunium frame, 10.000 rpm | Dispersion Cup: Stainless steel, brass baffles | Bath: Steel sheet, fibre glass coated, 60 x 30 x 40 cm | Water Heater: Electric, range ambient to 60 deg. C | Sodium Hexa: Bottled, powder | Water Glass: Bottled, liquid | Hydrometer Jar: Glass, 1000 ml capacity | Graduated Cylinder: 1000 ml capacity | Thermometer: Range 0 - 50 deg.C",,
Laboratory CBR Test Set Digital,,Tanah,,Jual Laboratory CBR Test Set Digital Harga Terbaik,Jual Laboratory CBR Test Set Digital. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-1883 / AASHTO T-193 | Electrical Loading Machine: Electric, 220 V-AC, 1/2 HP, 1 Phase, speed 0.05""/min reversing switch, 10.000 lbs capacity | CBR Mold: Machine steel, 6"" i.d, 7"" height, 2"" height of collar | Spacer Dish: Machine steel, 5 15/16"" dia, 2.416"" height | Cutting Edge: Machine steel, sharp edge | Circular Surcharge Weight: Machine steel, 5 7/8"" dia 5 lbs weight | Slotted Surcharge Weight: Machine steel, 5 7/8"" dia 5 lbs weight | Modified Proctor Hammer: Machine steel, plated, 18"" drop height, 10 lbs weight | Swell Plate: Included | Swell Tripot: Included | Filter Paper: 6"" dia., 100 sheets/box | Proving Ring: 6.000 lbs capacity | Dial Indicator: Range 0.01"" x 1"" | Square Pan: Galvanized steel, 65 x 65 x 7.5 cm | Thin Box: Alumunium, 60 gr capacity | Graduated Cylinder: Plastic, 1000 ml capacity | Scoop: Cast alumunium | Trowel: Pointed type | Straight Edge: 300 mm length",,
Laboratory CBR Test Set Manual,,Tanah,,Jual Laboratory CBR Test Set Manual Harga Terbaik,Cari Laboratory CBR Test Set Manual? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-1883 / AASHTO T-193 | Mechanical Loading Machine: Steel frame, hand operated, two speeds, 10.000 lbs capacity | CBR Mold: Machine steel, 6"" i.d, 7"" height, 2"" height of collar | Spacer Dish: Machine steel, 5 15/16"" dia, 2.416"" height | Cutting Edge: Machine steel, sharp edge | Circular Surcharge Weight: Machine steel, 5 7/8"" dia 5 lbs weight | Slotted Surcharge Weight: Machine steel, 5 7/8"" dia 5 lbs weight | Modified Proctor Hammer: Machine steel, plated, 18"" drop height, 10 lbs weight | Filter Paper: 6"" dia., 100 sheets/box | Proving Ring: 6.000 lbs capacity | Dial Indicator: Range 0.01"" x 1"" | Square Pan: Galvanized steel, 65 x 65 x 7.5 cm | Thin Box: Alumunium, 60 gr capacity | Graduated Cylinder: Plastic, 1000 ml capacity | Scoop: Cast alumunium | Trowel: Pointed type | Straight Edge: 300 mm length",,
Laboratory Vane Shear Test,,Tanah,,Jual Laboratory Vane Shear Test Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Laboratory Vane Shear Test asli.,,,,,,,"Speed of rate: 5 degree per minute | Kelistrikan: 50/60 Hz, 220 Volt-AC, 50 Watt | Maximum Shear Undrained (Su): 1Kg/cm2 | Sensitivity: 0.02 Kg/cm2 per division | Vane size: 12.5mm x 19mm, 19mm x 25.4mm and 25.4mm x 25.4mm | Dimension: 60 x 25 x 35 cm | Gross Weight: 55Kg",,
Liquid Limit Device Electric,,Tanah,,Jual Liquid Limit Device Electric Harga Terbaik,Sawarga Teknik jual Liquid Limit Device Electric. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-4318 / AASHTO T-89 | Spesifikasi: Electric, 220 V-AC, brass cup, hard rubber base, provided with counter | Deskripsi/Fungsi: Berfungsi untuk menentukan kadar air tanah pada batas cair dengan cara Cassagrande yang akan digunakan untuk menentukan sifat dan klasifikasi tanah.",,
Liquid Limit Manual,,Tanah,,Jual Liquid Limit Manual Harga Terbaik,Jual Liquid Limit Manual. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-4318 / AASHTO T-89 | Deskripsi/Fungsi: Hand operated, brass cup, hard rubber base provided with counter. Berfungsi untuk menentukan kadar air tanah pada batas cair dengan cara Cassagrande yang akan digunakan untuk menentukan sifat dan klasifikasi tanah.",,
Liquid Limit Test Set,,Tanah,,Jual Liquid Limit Test Set Harga Terbaik,Cari Liquid Limit Test Set? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-4318 / AASHTO T-89 | Liquid Limit Device: Hand operated, brass cup, hard rubber base | ASTM Grooving Tool: Machine steel, head gauge | Cassagrande Grooving Tool: Brass plate | Thin Box: Alumunium, 60 gr capacity | Glass Plate: Glass, 10 mm thick, 30 x 30 cm | Graduated Cylinder: 100 ml capacity | Porcelain Dish: 12 cm dia, 250 ml capacity | Spatula: 150 mm blade | Scraper: 100 mm blade",,
Mackintosh Probe Test,,Tanah,,Jual Mackintosh Probe Test Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Mackintosh Probe Test asli.,,,,,,,,,
Mechanical End Over End Shaker,,Tanah,,Jual Mechanical End Over End Shaker Harga Terbaik,Sawarga Teknik jual Mechanical End Over End Shaker. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: BS-1377 | Kelistrikan: Electric, 220 V/50Hz/1 Ph/50 RPM",,
Plastic Limit Test Set,,Tanah,,Jual Plastic Limit Test Set Harga Terbaik,Jual Plastic Limit Test Set. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-4318 / AASHTO T-90 | Reference Rod: Stainless steel rod, 3.2 mm dia | Glass Plate: Glass, 10 mm thick, 30 x 30 cm | Thin Box: Alumunium 60 gr capacity | Graduated Cylinder: 100 ml capacity | Porcelain Dish: 12 cm dia, 250 ml capacity | Spatula: 150 mm blade | Scraper: 100 mm blade",,
Plate Bearing Test Set,,Tanah,,Jual Plate Bearing Test Set Harga Terbaik,Cari Plate Bearing Test Set? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-1194 / AASHTO T-235 | Manometer: 6"" dia, 30 tons capacity, 0.5 tons increment | Hydraulic Cylinder: 30 tons capacity | Hydraulic Hand Pump: Double action, 10.000 psi capacity | Hydraulic Hose: 10.000 psi, 180 cm length | Reference Beam: Steel pipe, 2 x 150 cm span | Circular Bearing Plate 1: 6"" dia, machined steel, 1"" thick | Circular Bearing Plate 2: 10"" dia, machined steel, 1"" thick | Circular Bearing Plate 3: 12"" dia, machined steel, 1"" thick | Circular Bearing Plate 4: 18"" dia, machined steel, 1"" thick | Circular Bearing Plate 5: 24"" dia, machined steel, 1"" thick | Circular Bearing Plate 6: 30"" dia, machined steel, 1"" thick | Square Bearing Plate: 12"" x 12"", machined steel, 1"" thick | Dial Indicator: Range 30 x 0.01 mm | Dial Holder: Magnetic",,
Proving Ring Penetrometer,,Tanah,,Jual Proving Ring Penetrometer Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Proving Ring Penetrometer asli.,,,,,,,"Penetration Rod: Round bar, 51.5 CM/49 cm length with 5 cm increment lines | Penetration Cone: Machine steel, hardened, plated, 1 sq. in cross section area, 30 deg. angle | Holder: Alumunium handle | Carrying Case: Wooden case | Proving Ring: 100 kg capacity | Open End Wrench: Vanadium steel",,
Sample Extruder Elektrik,,Tanah,,Jual Sample Extruder Elektrik Harga Terbaik,Sawarga Teknik jual Sample Extruder Elektrik. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,,,
Sample Extruder Manual,,Tanah,,Jual Sample Extruder Manual Harga Terbaik,Jual Sample Extruder Manual. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,,,
Sand Cone Test Set,,Tanah,,Jual Sand Cone Test Set Harga Terbaik,Cari Sand Cone Test Set? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-1556 / AASHTO T-191 | Sand Cone Bottle: Plastic, 4 ltr. cap. approx | Sand Cone Funnel: Seamless metal, turning stopper, 6 1/2"" dia bottom, 1/2 neck dia | Base Plate: Cast alumunium, 12"" x 12"" | Graduated Sand: Uncemented sand, passing # 10, retained # 60, 25 kg capacity | Sample Can: Round can, tinned metal | Scoop: Cast alumunium | Spoon: Stainless steel | Trowel: Pointed type | Chisel: Hardened type | Rubber Mallet: Wooden handle, 0,5 kg weigth",,
Shrinkage Limit Test Set,,Tanah,,Jual Shrinkage Limit Test Set Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Shrinkage Limit Test Set asli.,,,,,,,"Standar: ASTM D-427 / AASHTO T-92 | Prong Plate: 3 mm hard plastic, 3 needles | Monel Shrinkage Dish: Flat bottom, 40 mm dia, 12 mm height approx | Cristalizing Dish: 5 cm dia approx | Overflow Dish: 9 cm dia approx | Mercury: Bottled | Glass Plate: Included | Thin Box: Included | Graduated Cylinder: 100 ml capacity | Porcelain Dish: 12 cm dia, 250 ml capacity | Spatula: 150 mm blade | Scraper: 150 mm blade",,
Sondir 2.5 Ton Manual,,Tanah,,Jual Sondir 2.5 Ton Manual Harga Terbaik,Sawarga Teknik jual Sondir 2.5 Ton Manual. Promo harga alat laboratorium teknik sipil berkualitas.,,,,,,,"Standar: ASTM D-3441 | Press-In Apparatus: Steel construction, manually operated 2.5 tons capacity | Sounding Rod: Machined steel, 36 mm o.d., 1 mtr effective length, tappered thread | Plunger Rod: Round bar, 15 mm dia, 1 mtr length | Push Adaptor: Machined steel | Pull Adaptor: Machined steel | Spiral Anchor: Machined steel, welded 1.5 m length | Handle And T-piece: Machined steel, welded | Mantel Cone: Precision machine steel hardened tip, tappered thread | Friction Cone: Precision machine steel hardened, with friction jacket, tappered thread | Wrenches Set: Pipe wrench (2), adjustable wrench (1), spanner wrench (1), allen key (1), screw driver (1), oil can (1), steel brush (1), piston wrench (1), seals tape (2), oil seals (2), steel box | Long Fasten Press: 1.5 m length, 8 cm width | Short Fasten Press: 1 m length, 12 cm width | Manometer 1: 60 kg/cm2 capacity | Manometer 2: 250 kg/cm2 capacity",,
Sondir 5 Ton Manual,,Tanah,,Jual Sondir 5 Ton Manual Harga Terbaik,Jual Sondir 5 Ton Manual. Cek harga alat laboratorium teknik sipil bergaransi di Sawarga Teknik.,,,,,,,"Standar: ASTM D-3441 | Press-In Apparatus: Steel construction, manually operated 5 tons capacity | Sounding Rod: Machined steel, 36 mm o.d., 1 mtr effective length, tappered thread | Plunger Rod: Round bar, 15 mm dia, 1 mtr length | Push Adaptor: Machined steel | Pull Adaptor: Machined steel | Spiral Anchor: Machined steel, welded 1.5 m length | Handle and T-piece: Machined steel, welded | Mantel Cone: Precision machine steel, hardened tip, tappered thread | Friction Cone: Precision machine steel, hardened, with friction jacket, tappered thread | Wrenches Set: Pipe wrench (2), adjustable wrench (1), spanner wrench (1), allen key (1), screw driver (1), oil can (1), steel brush (1), piston wrench (1), seals tape (2), oil seals (2), steel box | Long Fasten Press: 1.5 m length, 8 cm width | Short Fasten Press: 1 m length, 12 cm width | Manometer 1: 60 kg/cm2 capacity | Manometer 2: 500 kg/cm2 capacity",,
Specific Gravity (Heating Method),,Tanah,,Jual Specific Gravity (Heating Method) Harga Terbaik,Cari Specific Gravity (Heating Method)? Sawarga Teknik jual alat laboratorium teknik sipil dengan harga terbaik.,,,,,,,"Standar: ASTM D-854 / AASHTO T-100 | Hot Plate: Electric, 220 Volt | Asbestos Wire Gauze: 15 x 15 cm | Mixing Bowl: Stainless steel, 250 mm dia | Density Bottle: 100 ml capacity | Funnel: Glass | Wash Bottle: 250 ml capacity | Thermometer: Range 0 - 100 deg.C",,
Specific Gravity (Vacuum Method),,Tanah,,Jual Specific Gravity (Vacuum Method) Harga Terbaik,Dapatkan harga alat laboratorium teknik sipil terbaik. Sawarga Teknik jual Specific Gravity (Vacuum Method) asli.,,,,,,,"Standar: ASTM D-854 / AASHTO T-100 | Vacuum Stand: Wooden base, steel pipe column, 2 valves | Mixing Bowl: Stainless steel, 250 mm dia | Graduated Cylinder: 500 ml capacity | Volumetric Flask: 500 ml capacity, vacuum | Funnel: Glass, wide mouth | Wash Bottle: 250 ml capacity | Pipette: Glass, 5 ml capacity | Thermometer: Range 0 - 50 deg.C | Vacuum Manometer: 4"" dia., 0 - 76 cm HG | Vacuum Pump: Rotary pump",,
